TOI,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,Orbital Period Value,Transit Depth Value,Surface Gravity Value,Planet Radius Value,Night,Effective Temperature Value
2075,23814735,2075.01,PC,210.044479663711,38.7057725756901,11.1345,4.79816944690219,1051.0675882311,4.59496,2.31335315016572,210322,4065.0
2076,27491137,2076.03,CP,217.3926784,39.7904292,8.374,21.0153047,2072.0,4.6,3.78219,210323,5149.6
2076,27491137,2076.02,CP,217.3926784,39.7904292,8.374,35.1257472,2066.0,4.6,3.17021,210323,5149.6
2076,27491137,2076.01,CP,217.3926784,39.7904292,8.374,10.356359551487,923.942126996727,4.6,2.41032056391471,210323,5149.6
2078,159244568,2078.01,PC,227.178797232374,82.4472130050728,11.0372,6.27724777675108,910.521553643765,4.58339,2.53854406434194,200807,5244.0
2086,230387153,2086.01,PC,285.921517606567,65.7853992171104,11.316,41.7540004,820.0,4.48036,2.75297,200807,5337.0
2086,230387153,2086.02,PC,285.921517606567,65.7853992171104,11.316,20.2616549832581,612.948546817462,4.48036,2.42060949428293,200807,5337.0
2088,441765914,2088.01,PC,261.375228535614,75.8822880994724,10.8812,124.729870031257,1781.91600236247,4.5026,3.51309349977511,210322,4902.0
2092,393965778,2092.01,PC,212.546897143175,45.5639945267646,10.6375,4.3032437,650.0,4.37458,2.66568,210322,5468.73
2093,402898317,2093.01,PC,302.738007655115,70.8694158045323,10.6699,53.8108713039137,965.169662054076,4.55621,2.22490962806356,200809,4455.0
2100,219436394,2100.01,PC,205.594365967273,76.6479665157465,10.8676,23.6573994144733,1180.93505671199,4.57126,3.06812208636828,210322,5535.0
2103,160491359,2103.02,PC,239.0180675,73.0738545,10.337,20.2926467815124,319.939519910182,4.54,1.70049763089466,200809,4884.0
2103,160491359,2103.01,PC,239.0180675,73.0738545,10.337,2.66207276935833,220.999421346124,4.54,1.21721745503987,200809,4884.0
2104,367630162,2104.01,PC,151.6153959,83.0884087,10.056,3.2723042,390.0,4.62,1.52279,210322,4907.0
2104,367630162,2104.04,PC,151.6153959,83.0884087,10.056,1.9803047,330.0,4.62,1.11012517061372,210322,4907.0
2104,367630162,2104.05,PC,151.6153959,83.0884087,10.056,9.56110995932098,381.556763958528,4.62,1.67908764243569,210322,4907.0
2104,367630162,2104.02,PC,151.6153959,83.0884087,10.056,5.9043831,410.0,4.62,1.45725,210322,4907.0
2104,367630162,2104.03,PC,151.6153959,83.0884087,10.056,15.18089,680.0,4.62,1.9835,210322,4907.0
2105,156199502,2105.01,PC,181.07387935533,83.4376532752374,9.8565,15.9152686047112,652.557424821711,4.49012,2.22774790225942,210322,4718.0
