#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   V      u      v      b      y      Hb_w   Hb_n     Mact
 1   9.23  0.05  1.39292  0.663 3.820  4.143  8.40  0.111 0.96 10.862 10.949 12.759 11.750 11.260 10.931 11.098  8.034  1.393 
 1   9.23  0.13  1.30793  0.501 3.806  4.222  9.20  0.119 0.00 12.718 12.817 14.701 13.697 13.156 12.799 12.978  9.904  1.308 
 1   9.23  0.15  0.93563 -0.285 3.723  4.534  9.80  0.109 0.83 14.927 15.255 18.009 16.761 15.780 15.219 15.522 12.390  0.936 
 1   9.23  0.17  1.08900  0.062 3.765  4.418  9.70  0.133 0.00 14.316 14.486 16.679 15.635 14.916 14.466 14.692 11.589  1.089 
 1   9.23  0.19  0.75862 -0.743 3.660  4.646  9.10  0.123 0.00 15.727 16.340 19.831 18.213 16.967 16.277 16.694 13.525  0.759 
 1   9.25 -0.39  1.12897  0.359 3.818  4.349 10.50  0.122 0.74 14.172 14.331 16.068 15.150 14.664 14.314 14.490 11.411  1.129 
 1   9.25 -0.35  0.87980 -0.252 3.748  4.573 10.30  0.113 0.00 15.701 15.908 18.028 17.053 16.349 15.888 16.121 13.000  0.880 
 1   9.25 -0.09  0.49406 -1.380 3.600  4.858  7.30  0.092 0.84 14.979 16.078 19.987 18.140 16.912 16.011 16.599 13.428  0.494 
 1   9.25 -0.07  1.35107  0.643 3.827  4.180 10.70  0.134 0.00 13.861 13.976 15.733 14.726 14.272 13.959 14.120 11.065  1.351 
 1   9.25 -0.05  0.42563 -1.556 3.584  4.906  5.40  0.059 0.00 14.060 15.266 19.238 17.321 16.131 15.198 15.804 12.650  0.426 
 1   9.25 -0.03  0.81377 -0.541 3.695  4.615  9.60  0.117 0.00 15.723 16.107 19.013 17.686 16.649 16.066 16.387 13.247  0.814 
 1   9.25 -0.01  1.08868  0.119 3.777  4.408  7.20  0.101 0.00 11.673 11.800 13.781 12.814 12.190 11.781 11.983  8.882  1.089 
 1   9.25  0.17  1.46232  0.733 3.812  4.062 12.00  0.141 0.00 14.937 15.047 16.958 15.908 15.379 15.030 15.207 12.142  1.462 
 1   9.27 -0.13  1.21961  0.434 3.816  4.301  9.80  0.132 0.00 13.484 13.613 15.369 14.411 13.931 13.596 13.765 10.697  1.220 
 1   9.27 -0.07  0.48138 -1.415 3.596  4.867  7.40  0.096 0.81 15.203 16.362 20.307 18.429 17.211 16.295 16.892 13.727  0.481 
 1   9.27 -0.07  1.48623  0.858 3.827  4.005 10.70  0.124 0.00 13.326 13.425 15.210 14.167 13.717 13.408 13.566 10.513  1.486 
 1   9.27  0.01  0.82049 -0.539 3.692  4.607 10.40  0.109 0.99 15.789 16.186 19.156 17.798 16.734 16.142 16.472 13.328  0.820 
 1   9.27  0.01  1.53773  0.899 3.815  3.932 10.50  0.142 0.74 12.821 12.945 14.826 13.783 13.274 12.927 13.103 10.034  1.538 
 1   9.27  0.03  0.66956 -0.948 3.638  4.711  8.70  0.117 0.00 15.841 16.605 20.256 18.560 17.284 16.536 17.007 13.823  0.670 
 1   9.27  0.07  1.18964  0.311 3.792  4.318 12.10  0.129 0.00 16.094 16.223 18.156 17.173 16.591 16.205 16.398 13.310  1.190 
 1   9.27  0.19  1.10064  0.088 3.766  4.403  8.80  0.117 0.00 13.350 13.500 15.675 14.634 13.922 13.479 13.701 10.599  1.101 
 1   9.27  0.23  1.14152  0.176 3.775  4.364  9.60  0.119 0.70 13.770 13.946 16.138 15.086 14.371 13.923 14.151 11.049  1.142 
 1   9.27  0.39  1.41527  0.659 3.807  4.104 11.20  0.117 0.00 14.323 14.397 16.387 15.315 14.739 14.379 14.561 11.496  1.415 
 1   9.29 -0.43  1.74336  1.006 3.837  3.894 10.70  0.131 0.84 12.953 13.080 14.810 13.744 13.347 13.063 13.211 10.168  1.471 
 1   9.29 -0.29  0.98928 -0.016 3.775  4.496 11.20  0.147 0.00 16.010 16.206 18.115 17.204 16.604 16.187 16.395 13.287  0.989 
 1   9.29 -0.21  0.79732 -0.517 3.705  4.622  9.60  0.145 0.00 15.661 16.029 18.744 17.508 16.554 15.994 16.298 13.163  0.797 
 1   9.29 -0.15  1.15800  0.306 3.805  4.361  9.60  0.115 0.00 13.604 13.727 15.500 14.571 14.062 13.709 13.884 10.803  1.158 
 1   9.29  0.05  1.34695  0.604 3.813  4.159 11.30  0.129 0.00 14.560 14.670 16.513 15.503 14.995 14.652 14.826 11.757  1.347 
 1   9.29  0.13  0.83987 -0.516 3.692  4.592  9.60  0.114 0.86 15.231 15.711 18.864 17.424 16.291 15.660 16.022 12.871  0.840 
